25000000,,,,,,0
25000000,2,0.92656,2,0.20286,3.28648,0.99524
25000000,5,2.7419,3,0.33744,1.88546,1.00956
25000000,10,4.54692,0.66667,0.3868,2.618,1.05916
25000000,20,8.81115,0.55556,0.63704,4.32342,1.31855
25000000,40,14.71621,0.84,1.78339,5.81507,2.52491
25000000,50,17.66564,0.49123,2.0828,4.40084,2.6224
25000000,80,26.2033,0.42282,3.52855,6.48566,3.88596
50000000,,,,,,0
50000000,2,1.76251,0.5,0.19578,4.8803,1.35726
50000000,5,4.74918,1,0.46897,2.80934,1.37819
50000000,10,5.13588,0.00231,0.7934,4.40535,1.66436
50000000,20,8.97854,0.27778,0.99652,5.3395,1.92691
50000000,40,14.61807,0.44444,2.04635,5.35742,2.77494
50000000,50,15.69856,0.38462,2.57201,5.11509,3.22935
50000000,80,21.90642,0.55814,3.64791,5.58075,3.93311
100000000,,,,,,0
100000000,2,1.43752,0.16667,0.16893,3.68424,1.18116
100000000,5,4.06158,3.33333,0.4153,2.21431,1.22323
100000000,10,6.29686,0.5,0.89242,3.41983,1.75937
100000000,20,10.30405,0.5,1.91406,5.93837,2.44731
100000000,40,16.67821,0.29412,3.2036,4.61058,3.52044
100000000,50,16.10643,0.04324,2.60227,5.75284,3.08884
100000000,80,23.82475,0.35583,4.23651,5.39857,4.002
